Place Name,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
Hilton Hotels,60,12,60,60,60,60,48,36,60,60,35,57,60,60,60,60,60,60,44,60,60,60,60,60,60,29,48,60,47,60,60,60,60,17,60,60,60,60,18,60,24,60,60,60,35,60,60,60,60,27
Marriott Hotels,60,11,60,60,60,60,57,30,60,60,20,59,60,60,60,60,60,60,40,60,60,60,60,60,60,31,51,60,33,60,55,60,60,20,60,60,60,60,20,60,32,60,60,60,18,60,60,60,60,18
Holiday Inn,60,20,55,60,60,58,28,8,60,60,20,31,60,60,60,60,60,60,14,60,60,60,60,60,60,20,45,46,31,60,54,60,60,12,60,60,48,60,12,60,20,60,60,40,29,60,59,60,60,19
Walt Disney Parks and Resorts,4,0,4,3,49,3,2,3,60,7,3,8,14,7,3,1,4,7,2,12,6,11,5,4,10,6,2,1,1,10,2,12,13,0,2,8,2,15,1,5,0,4,15,5,0,17,0,10,7,0
Hampton Inn,60,2,44,55,60,49,15,10,60,60,1,20,60,60,40,32,60,60,20,60,60,60,46,51,60,10,27,30,28,60,28,60,60,8,60,60,24,60,9,60,11,60,60,31,17,60,36,60,38,14
Courtyard by Marriott,32,1,19,20,60,20,20,6,60,60,6,6,36,25,13,15,24,26,5,49,40,54,18,18,30,2,7,10,6,60,9,60,60,3,44,12,20,47,3,34,2,35,60,10,7,60,20,20,11,1
Ritz-Carlton,60,20,6,39,27,11,51,8,43,9,15,38,7,8,25,17,60,2,16,12,3,5,37,16,1,20,7,20,8,9,56,14,1,4,1,46,3,1,20,3,8,60,5,40,12,11,60,60,49,20
Hyatt Hotels,8,3,19,8,60,33,7,4,60,37,9,3,40,15,9,7,9,9,1,38,16,52,10,4,14,60,3,8,47,40,6,60,33,1,14,5,8,18,2,27,1,23,60,15,44,47,11,10,7,60
Best Western,60,18,60,46,60,60,19,6,60,60,46,51,60,60,41,37,60,60,15,60,46,60,60,60,60,35,45,60,13,56,60,60,60,6,56,60,60,59,4,50,40,60,60,60,19,60,60,40,55,45
Sheraton Hotels,4,3,9,6,36,9,2,2,27,11,6,29,14,5,2,4,2,6,3,8,14,24,7,2,7,4,1,1,2,24,3,35,15,2,5,5,2,16,19,10,2,9,34,3,20,14,5,3,6,2
Comfort Inn,60,7,57,60,34,60,28,13,60,60,60,34,60,60,60,50,60,60,27,60,51,60,60,60,60,24,44,33,20,54,56,60,60,18,60,60,51,60,28,60,34,60,60,45,19,60,55,60,60,28
Embassy Suites,9,1,10,5,36,11,20,1,31,19,2,60,13,12,4,6,11,3,1,13,3,18,6,2,9,31,4,2,8,7,2,16,20,1,8,7,6,3,20,14,16,13,49,2,13,18,8,3,3,3
Wyndham Hotels,60,15,60,60,60,60,36,21,60,60,20,60,60,60,60,60,60,60,30,60,60,60,60,60,60,60,60,60,26,60,60,60,60,60,60,60,60,60,14,60,60,60,60,60,24,60,60,60,60,60
Hyatt Place,7,3,16,7,60,20,7,4,54,32,1,3,31,15,8,6,10,7,1,30,13,40,9,4,10,60,2,7,46,25,5,51,30,1,13,4,7,15,1,24,1,18,60,14,47,38,8,10,7,20
DoubleTree by Hilton,7,7,12,6,52,14,3,2,31,16,2,2,20,5,5,3,6,9,1,18,15,31,12,3,13,3,2,4,2,25,3,32,24,2,15,3,6,18,9,15,1,10,37,3,2,24,7,9,9,2
Hilton Garden Inn,25,2,29,20,60,23,11,1,60,46,2,10,37,37,16,13,18,24,7,49,26,48,20,19,20,5,7,9,4,58,11,60,60,2,44,15,11,32,3,37,5,33,60,8,3,57,19,14,19,4
Ramada,10,2,57,3,54,8,3,3,29,17,1,4,15,10,9,2,14,8,8,16,5,26,11,4,15,3,6,10,1,21,7,47,17,8,7,3,4,14,1,7,5,12,20,6,2,18,15,10,17,3
Days Inn,60,60,34,50,11,20,9,6,60,60,1,10,44,33,24,19,49,52,8,40,14,60,37,48,53,9,16,11,5,39,36,57,60,9,53,38,12,38,1,60,12,60,60,16,5,60,20,40,32,9
